DNR_ID_Site_Number,Year,Mean(log_phosphorus),Std Dev(log_phosphorus),Mean(Secchi_Depth_RESULT),Std Dev(Secchi_Depth_RESULT),rec_1,rec_2,rec_3,rec_4,rec_5,seasonal_1,seasonal_2,seasonal_3,seasonal_4,seasonal_5,physical_1,physical_2,physical_3,physical_4,physical_5,LAKE_NAME,MAJOR_WATERSHED,longitude,latitude,num.rec.readings,num.physical.readings,rec.avg,physical.avg,seasonal.grade,LakeSite,Number Properties,Mean(ACRES_POLY),Std Dev(ACRES_POLY),N(Ag Preserve - Yes),N(Basement - Yes),Median(EMV_TOTAL),Interquartile Range(EMV_TOTAL),Median(FIN_SQ_FT),Interquartile Range(FIN_SQ_FT),N(Green ACRE - Yes),N(Homestead - Partial),N(Homestead - Yes),N(Single Unit),N(Multiple Unit),Median(SALE_VALUE),Interquartile Range(SALE_VALUE),Median(TOTAL_TAX),Interquartile Range(TOTAL_TAX),N(Sales that year),N(Built that year)
10008800-01,2011,-2.143785582,0.290589236,1.714285714,0.762442576,0,6,6,2,0,0,0,1,0,0,0,4,9,1,0,Hydes Lake,Lower Minnesota River,-93.87281084,44.81445097,14,14,2.714285714,2.785714286,C,Hydes Lake-1,53,12.2054717,19.29068533,1,1,400000,141000,1789,1390,6,0,38,0,0,297500,275000,3964,2174,0,0
10008800-01,2012,-2.581479913,0.538072818,1.339285714,0.34204058,0,6,7,1,0,0,0,1,0,0,0,4,7,3,0,Hydes Lake,Lower Minnesota River,-93.87281084,44.81445097,14,14,2.642857143,2.928571429,C,Hydes Lake-1,52,10.76730769,16.36022797,0,0,381000,134025,1816,1390,6,0,41,0,0,297500,275000,3848,1996.5,0,0
10008800-01,2013,-2.782104182,0.399800354,1.292307692,0.638307056,0,4,6,3,0,0,0,1,0,0,0,3,7,3,0,Hydes Lake,Lower Minnesota River,-93.87281084,44.81445097,13,13,2.923076923,3,C,Hydes Lake-1,52,11.80653846,19.25686889,1,1,381000,159750,1780,1364,6,0,40,0,0,310000,278000,3744,2188.5,2,0
10008800-01,2014,-2.424531244,0.616301476,1.3,0.856348839,1,3,7,2,0,0,0,1,0,0,1,4,6,2,0,Hydes Lake,Lower Minnesota River,-93.87281084,44.81445097,13,13,2.769230769,2.692307692,C,Hydes Lake-1,53,12.21037736,19.26916678,1,1,395400,196200,1717,1390,4,0,40,0,0,310000,283500,3588,1698,1,0
10009300-01,2004,-2.687164144,0.709407756,1.496428571,1.130429511,0,4,5,3,1,0,1,0,0,0,0,4,2,7,0,Oak Lake,South Fork Crow River,-93.7948637,44.9554343,13,13,3.076923077,3.230769231,D,Oak Lake-1,29,9.139655172,17.49610456,1,1,243900,402800,1664,2062,2,0,21,0,0,125000,175000,1912,2500,0,0
10009300-01,2005,-2.4411342,0.771117833,1.357142857,1.162698642,1,4,6,3,0,0,0,1,0,0,0,5,5,4,0,Oak Lake,South Fork Crow River,-93.7948637,44.9554343,14,14,2.785714286,2.928571429,C,Oak Lake-1,29,9.125862069,17.48351479,1,1,366200,449900,1969,1830,2,0,21,0,0,125000,175000,1948,2418,0,0
10009300-01,2006,-2.207205338,0.570148315,0.787878788,0.313007164,0,3,23,5,3,0,2,1,0,0,0,5,24,5,0,Oak Lake,South Fork Crow River,-93.7948637,44.9554343,34,34,3.235294118,3,D,Oak Lake-1,29,9.133793103,17.49747868,1,1,451000,462100,1969,1830,2,0,21,0,0,125000,175000,2581,3090.5,0,0
10009300-01,2007,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Oak Lake,South Fork Crow River,-93.7948637,44.9554343,0,0,,,F,Oak Lake-1,33,9.247878788,17.17485421,1,1,237100,377250,1664,2200,0,0,12,0,0,155000,175000,2581,3425,2,0
10009300-01,2008,-2.41146304,0.794273053,0.732142857,0.432171237,0,0,2,8,4,0,1,0,0,0,0,3,5,6,0,Oak Lake,South Fork Crow River,-93.7948637,44.9554343,14,14,4.142857143,3.214285714,D,Oak Lake-1,32,9.3828125,17.43188869,1,1,250350,411800,1456,2232,0,0,11,0,0,250000,424900,1851.5,2870,0,0
10009500-01,2004,-1.626034295,0.398909464,0.573846154,0.148241833,0,1,0,11,0,1,0,0,0,0,0,9,3,0,0,Swede Lake,South Fork Crow River,-93.8182476,44.930824,12,12,3.833333333,2.25,F,Swede Lake-1,25,11.938,20.45134735,0,0,232100,374800,1072,1752,2,0,18,0,0,67750,228750,1814,2476,1,0
10009500-01,2005,-1.287150709,0.522577891,0.917857143,0.672425902,0,0,0,13,0,0,1,0,0,0,0,6,7,0,0,Swede Lake,South Fork Crow River,-93.8182476,44.930824,13,13,4,2.538461539,D,Swede Lake-1,28,11.06,19.26070554,0,0,226700,388000,1742,2264.5,2,0,20,0,0,147500,224625,1694,2736,1,3
10009500-01,2006,-1.240855282,0.382365196,0.503571429,0.252269915,0,0,0,14,0,1,0,0,0,0,0,6,8,0,0,Swede Lake,South Fork Crow River,-93.8182476,44.930824,14,14,4,2.571428571,F,Swede Lake-1,28,11.07,19.27645061,0,0,301500,420875,1742,2264.5,2,0,21,0,0,147500,228375,2211,3500.25,1,0
10009500-01,2007,-1.336183775,0.426479042,0.35,0.251661148,1,0,0,12,0,1,0,0,0,0,1,5,6,0,0,Swede Lake,South Fork Crow River,-93.8182476,44.930824,13,12,3.769230769,2.416666667,F,Swede Lake-1,28,11.07,19.27645061,1,1,299850,386425,1742,2264.5,2,0,12,0,0,147500,228375,2433,2644.25,0,0
10009500-01,2008,-1.371964223,0.612838753,0.423333333,0.233656239,0,0,0,12,1,1,0,0,0,0,1,3,4,5,1,Swede Lake,South Fork Crow River,-93.8182476,44.930824,13,14,4.076923077,3.142857143,F,Swede Lake-1,28,11.07,19.27645061,1,1,284600,333250,1742,2264.5,2,0,12,0,0,147500,228375,2639,2369,0,0
10009500-01,2009,-1.124707152,0.641785663,0.410714286,0.202083923,0,0,0,13,1,1,0,0,0,0,0,4,6,2,2,Swede Lake,South Fork Crow River,-93.8182476,44.930824,14,14,4.071428571,3.142857143,F,Swede Lake-1,27,9.56,18.02188499,0,0,277900,328400,1632,2268,1,0,11,0,0,145000,224750,2894,2938,0,0
10009500-01,2010,-0.910749426,0.519894831,0.482142857,0.170527623,0,0,0,14,0,1,0,0,0,0,0,5,9,0,0,Swede Lake,South Fork Crow River,-93.8182476,44.930824,14,14,4,2.642857143,F,Swede Lake-1,27,9.56,18.02188499,0,0,250600,305500,1632,2268,1,0,0,0,0,145000,224750,3258,2996,0,0
10009500-01,2011,-1.142470255,0.30658502,0.35,0.051887452,0,0,0,13,0,1,0,0,0,0,0,3,11,0,0,Swede Lake,South Fork Crow River,-93.8182476,44.930824,13,14,4,2.785714286,F,Swede Lake-1,27,9.56,18.02188499,0,0,220600,357200,1632,2434,3,0,18,0,0,145000,224750,2972,2906,0,0
10009500-01,2012,-1.062542547,0.369708948,0.342857143,0.075592895,0,0,0,14,0,1,0,0,0,0,0,6,8,0,0,Swede Lake,South Fork Crow River,-93.8182476,44.930824,14,14,4,2.571428571,F,Swede Lake-1,28,10.02642857,17.85639095,0,0,212350,321825,1678,2434,2,0,21,0,0,147500,224625,3199,3442.5,2,0
10009500-01,2013,-1.253750502,0.298301456,0.5,0.151382518,0,0,0,11,0,1,0,0,0,0,1,5,7,0,0,Swede Lake,South Fork Crow River,-93.8182476,44.930824,11,13,4,2.461538462,F,Swede Lake-1,28,10.02642857,17.85639095,0,0,212350,321825,1678,2434,2,0,20,0,0,145000,224500,3082,3398,1,0
10009500-01,2014,-1.973868608,0.302958413,0.564285714,0.427168032,0,0,0,11,0,0,1,0,0,0,0,5,8,0,0,Swede Lake,South Fork Crow River,-93.8182476,44.930824,11,13,4,2.615384615,D,Swede Lake-1,26,9.436538462,18.36714065,0,0,251600,366800,1678,2434,2,0,19,0,0,150000,578625,2992,3287,0,0
10012100-01,2004,-1.602020608,0.381999254,1.036363636,0.732492631,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Eagle Lake,South Fork Crow River,-93.93464391,44.80860271,0,0,,,D,Eagle Lake-1,22,16.35045455,33.8643748,1,1,216500,250825,1108,1324,4,0,18,0,0,205000,130500,1740,1332.25,1,0
10012100-01,2005,-2.572262586,0.950743049,1.6555,1.140237625,1,4,5,5,1,0,0,1,1,0,0,9,6,2,1,Eagle Lake,South Fork Crow River,-93.93464391,44.80860271,16,18,3.0625,2.722222222,C,Eagle Lake-1,22,16.31090909,33.75876619,1,1,254750,290200,1144,1503,4,0,18,0,0,220000,122250,1572,1137.75,1,1
10012100-01,2006,-1.789467197,0.666640339,0.921428571,0.779722408,0,2,7,5,0,1,0,0,0,0,0,3,6,5,0,Eagle Lake,South Fork Crow River,-93.93464391,44.80860271,14,14,3.214285714,3.142857143,F,Eagle Lake-1,22,16.32318182,33.78260251,1,1,260000,286525,1144,1503,4,0,18,0,0,220000,122250,1636,1127.75,0,0
10012100-01,2007,-1.698566806,0.533420955,0.553846154,0.290446164,0,4,5,4,0,1,0,0,0,0,0,3,5,4,1,Eagle Lake,South Fork Crow River,-93.93464391,44.80860271,13,13,3,3.230769231,F,Eagle Lake-1,22,16.32318182,33.78260251,1,1,258700,294250,1144,1503,4,0,10,0,0,220000,122250,1952,1680.25,0,0
10012100-01,2008,-1.703256756,0.373091146,0.534615385,0.295370259,0,1,2,8,2,1,0,0,0,0,0,1,5,5,2,Eagle Lake,South Fork Crow River,-93.93464391,44.80860271,13,13,3.846153846,3.615384615,F,Eagle Lake-1,22,16.32318182,33.78260251,1,1,253100,296775,1144,1503,4,0,10,0,0,220000,122250,2074,2159.75,0,0
10012100-01,2009,-2.337070765,0.96893329,1.155,1.86137329,5,1,3,8,3,1,0,0,1,0,3,4,3,7,4,Eagle Lake,South Fork Crow River,-93.93464391,44.80860271,20,21,3.15,3.238095238,F,Eagle Lake-1,22,15.41409091,32.41026831,1,1,233200,261275,1144,1503,4,0,10,0,0,220000,122250,2094,2520.75,0,0
10012100-01,2010,-2.222890961,0.369140423,0.607142857,0.309998228,0,2,3,9,0,0,1,0,0,0,0,1,5,8,0,Eagle Lake,South Fork Crow River,-93.93464391,44.80860271,14,14,3.5,3.5,D,Eagle Lake-1,21,9.638571429,18.2320795,2,2,209600,229700,1144,1388,2,0,0,0,0,220000,133000,2072,2338,0,0
10012100-01,2011,-1.689179508,0.403908655,0.525,0.183711731,0,0,4,9,1,1,0,0,0,0,0,0,4,7,3,Eagle Lake,South Fork Crow River,-93.93464391,44.80860271,14,14,3.785714286,3.928571429,F,Eagle Lake-1,21,9.638571429,18.2320795,2,2,200300,219300,1144,1388,2,0,17,0,0,220000,133000,1928,2283,0,0
10012100-01,2012,-2.168411706,0.883139584,1.2568,1.243311171,3,1,12,9,0,1,0,1,0,0,0,3,12,9,1,Eagle Lake,South Fork Crow River,-93.93464391,44.80860271,25,25,3.08,3.32,F,Eagle Lake-1,21,9.638571429,18.2320795,2,2,178600,195450,1144,1388,2,0,17,0,0,220000,133000,1972,2115,0,0
10012100-01,2013,-1.674955369,0.621552542,0.546153846,0.234041964,0,0,4,9,0,0,1,0,0,0,0,0,4,9,0,Eagle Lake,South Fork Crow River,-93.93464391,44.80860271,13,13,3.692307692,3.692307692,D,Eagle Lake-1,22,15.41409091,32.41026831,3,3,187700,213500,1144,1503,2,0,18,0,0,220000,122250,2160,1863,0,0
10012100-01,2014,-1.776110748,0.360823559,0.719230769,0.471936817,0,1,8,4,0,1,0,0,0,0,0,1,9,3,0,Eagle Lake,South Fork Crow River,-93.93464391,44.80860271,13,13,3.230769231,3.153846154,F,Eagle Lake-1,21,9.638571429,18.2320795,2,2,184500,215500,1144,1388,2,0,17,0,0,220000,90000,1730,1845,2,0
10012700-01,2005,-1.178869045,0.352212336,0.335714286,0.154954797,0,0,0,12,2,1,0,0,0,0,1,2,6,5,0,Campbell Lake,South Fork Crow River,-94.01383695,44.93937153,14,14,4.142857143,3.071428571,F,Campbell Lake-1,8,24.46,15.99305921,0,0,401050,92000,2072.5,632.5,2,0,8,0,0,65000,34400,2693,329.5,0,0
10012700-01,2006,-1.066980304,0.401168172,0.3,0.196116135,0,0,1,12,1,1,0,0,0,0,0,0,1,12,1,Campbell Lake,South Fork Crow River,-94.01383695,44.93937153,14,14,4,4,F,Campbell Lake-1,8,24.48,16.00770172,0,0,446150,98600,2072.5,632.5,2,0,8,0,0,65000,34400,3581,382.5,0,0
10021600-01,2006,-1.966425616,0.362581546,0.430769231,0.170218562,0,0,12,2,0,1,0,0,0,0,0,0,12,2,0,McKnight Lake,Lower Minnesota River,-93.60879364,44.83723777,14,14,3.142857143,3.142857143,F,McKnight Lake-1,15,24.23066667,29.62049543,0,0,493600,726800,0,1136,4,0,2,0,0,90000,0,2709,4176.5,0,0
10021600-01,2008,-1.79856598,0.206059194,0.485714286,0.18546052,0,0,1,10,3,1,0,0,0,0,0,2,7,3,2,McKnight Lake,Lower Minnesota River,-93.60879364,44.83723777,14,14,4.142857143,3.357142857,F,McKnight Lake-1,15,24.23066667,29.62049543,0,0,566500,1041200,0,1136,4,0,3,0,0,90000,0,4995,7417.5,0,0
10021600-01,2009,-1.625786992,0.262702592,0.403571429,0.171491518,0,0,3,10,1,1,0,0,0,0,0,0,6,8,0,McKnight Lake,Lower Minnesota River,-93.60879364,44.83723777,14,14,3.857142857,3.571428571,F,McKnight Lake-1,15,24.23066667,29.62049543,0,0,520300,956900,0,1136,4,0,3,0,0,90000,0,5837,9164.5,0,0
10021600-01,2010,-1.962191933,0.407547484,0.546428571,0.20424748,0,0,5,9,0,1,0,0,0,0,0,1,10,3,0,McKnight Lake,Lower Minnesota River,-93.60879364,44.83723777,14,14,3.642857143,3.142857143,F,McKnight Lake-1,13,17.49307692,23.64755568,0,0,461500,689500,0,1136,0,0,0,0,0,90000,0,6325,5822,0,0
10021600-01,2011,-1.887763397,0.413485401,0.578571429,0.180506004,0,0,8,6,0,1,0,0,0,0,0,0,7,7,0,McKnight Lake,Lower Minnesota River,-93.60879364,44.83723777,14,14,3.428571429,3.5,F,McKnight Lake-1,13,17.49307692,23.64755568,0,0,420800,624000,0,1136,0,0,6,0,0,90000,0,5677,6338,0,0
10021600-01,2012,-1.851796451,0.372590238,0.492307692,0.133613488,0,0,7,7,0,1,0,0,0,0,0,0,7,7,0,McKnight Lake,Lower Minnesota River,-93.60879364,44.83723777,14,14,3.5,3.5,F,McKnight Lake-1,15,24.352,29.71119996,0,0,345000,555800,0,1136,0,0,6,0,0,90000,0,5278,6066.5,0,0
10021600-01,2013,-2.054195635,0.308663305,0.611538462,0.316329105,0,1,2,8,2,0,1,0,0,0,0,0,4,7,2,McKnight Lake,Lower Minnesota River,-93.60879364,44.83723777,13,13,3.846153846,3.846153846,D,McKnight Lake-1,14,16.42857143,23.06632572,0,0,339400,509975,0,1136,0,0,6,0,0,90000,0,4778,6025,0,0
10021600-01,2014,-1.891601394,0.227641687,0.816666667,0.557728075,0,0,6,4,2,0,1,0,0,0,0,0,8,3,1,McKnight Lake,Lower Minnesota River,-93.60879364,44.83723777,12,12,3.666666667,3.416666667,D,McKnight Lake-1,13,17.49307692,23.64755568,0,0,381000,573000,0,1344,0,0,6,0,0,90000,0,4530,4764,0,0
10021700-01,2006,-1.73474816,0.377466615,0.438461539,0.138675049,0,0,9,5,0,1,0,0,0,0,0,0,8,6,0,Jonathan Lake,Lower Minnesota River,-93.60631618,44.83232288,14,14,3.357142857,3.428571429,F,Jonathan Lake-1,465,1.032057762,3.96233468,0,0,3200,195850,991,1778,0,0,60,0,0,284999,47035,1955,820,84,308
10021700-01,2008,-2.008649096,0.664142043,0.467857143,0.151412761,0,0,0,10,4,1,0,0,0,0,0,2,7,4,1,Jonathan Lake,Lower Minnesota River,-93.60631618,44.83232288,14,14,4.285714286,3.285714286,F,Jonathan Lake-1,443,1.054907063,3.947868839,0,0,161300,216500,991,1749,0,0,103,0,0,235460,121767.5,1567,2925,26,2
10021700-01,2009,-1.74322282,0.308570989,0.385714286,0.151185789,0,0,2,8,4,1,0,0,0,0,0,0,4,9,1,Jonathan Lake,Lower Minnesota River,-93.60631618,44.83232288,14,14,4.142857143,3.785714286,F,Jonathan Lake-1,399,1.123493976,3.940954762,0,0,157800,189500,1100,1749,0,0,100,0,2,185222,123848.5,1821,2533.5,20,0
10021700-01,2010,-2.0393284,0.36847042,0.532142857,0.207185483,0,0,4,10,0,1,0,0,0,0,0,0,9,5,0,Jonathan Lake,Lower Minnesota River,-93.60631618,44.83232288,14,14,3.714285714,3.357142857,F,Jonathan Lake-1,398,1.084314516,3.90002994,0,0,159100,179200,1038,1749,0,0,0,0,2,183067,115230,1798,2214,6,0
10021700-01,2011,-1.963196132,0.382570252,0.557142857,0.19201076,0,0,8,6,0,1,0,0,0,0,0,0,5,9,0,Jonathan Lake,Lower Minnesota River,-93.60631618,44.83232288,14,14,3.428571429,3.642857143,F,Jonathan Lake-1,390,1.092926829,3.914736727,0,0,149800,167700,1038,1749,0,0,191,0,2,176970,109665.5,1960,2228,12,0
10021700-01,2012,-1.971147702,0.30972568,0.482142857,0.086840134,0,0,4,10,0,0,1,0,0,0,0,0,6,7,1,Jonathan Lake,Lower Minnesota River,-93.60631618,44.83232288,14,14,3.714285714,3.642857143,D,Jonathan Lake-1,393,0.902995951,2.659771357,0,0,119000,138600,1100,1749,0,0,198,0,2,169990,110725,1521,2093.5,8,2
10021700-01,2013,-1.921230171,0.45495037,0.723076923,0.330791591,0,0,2,11,0,0,1,0,0,0,0,1,2,9,1,Jonathan Lake,Lower Minnesota River,-93.60631618,44.83232288,13,13,3.846153846,3.769230769,D,Jonathan Lake-1,392,1.084435484,3.899997156,0,0,131700,143500,1038,1749,0,0,197,0,2,169990,108321,1474,1754,6,0
10021700-01,2014,-1.886138873,0.325808679,0.679166667,0.62720822,1,0,4,5,2,0,0,0,0,0,1,1,4,4,2,Jonathan Lake,Lower Minnesota River,-93.60631618,44.83232288,12,12,3.583333333,3.416666667,F,Jonathan Lake-1,387,1.097428571,3.922113264,0,0,145700,180400,1038,1749,0,0,188,0,2,175985,108201,1652,1922,9,0
10021800-01,2004,-2.345157779,0.400846571,1.046153846,0.685097785,1,8,4,1,0,0,1,0,0,0,1,6,5,2,0,Grace Lake,Lower Minnesota River,-93.60623072,44.82448386,14,14,2.357142857,2.571428571,D,Grace Lake-1,454,0.587114537,2.478625055,0,0,144200,101825,1032,649.5,0,0,327,0,0,144950,64581.25,1362,1608,70,0
10021800-01,2005,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Grace Lake,Lower Minnesota River,-93.60623072,44.82448386,0,0,,,C,Grace Lake-1,454,0.614418605,2.540989109,0,0,155300,106550,1050,622,0,0,331,0,0,154900,63000,1559,1012,30,0
10021800-01,2006,-2.385441063,0.41031661,1.046153846,0.573898052,0,2,11,1,0,0,0,0,0,0,0,2,10,2,0,Grace Lake,Lower Minnesota River,-93.60623072,44.82448386,14,14,2.928571429,3,F,Grace Lake-1,454,0.614837209,2.543504428,0,0,162900,110850,1062,622,0,0,327,0,0,158400,72400,1651,1078,22,0
10021800-01,2007,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Grace Lake,Lower Minnesota River,-93.60623072,44.82448386,0,0,,,D,Grace Lake-1,454,0.614837209,2.543504428,0,0,169200,117350,1039,648.75,0,0,181,0,0,158150,75000,1851,1140,24,0
10021800-01,2008,-2.587978883,0.548829451,0.85,0.350274618,0,2,3,9,0,0,1,0,0,0,0,6,5,3,0,Grace Lake,Lower Minnesota River,-93.60623072,44.82448386,14,14,3.5,2.785714286,D,Grace Lake-1,454,0.614837209,2.543504428,0,0,154400,126775,1062,549,0,0,178,0,0,158150,79200,1963,1158,14,2
10021800-01,2009,-2.315702904,0.543633719,0.8,0.573786345,0,2,2,8,2,0,1,0,0,0,0,2,4,6,2,Grace Lake,Lower Minnesota River,-93.60623072,44.82448386,14,14,3.714285714,3.571428571,D,Grace Lake-1,454,0.614837209,2.543504428,0,0,155700,128150,1020,463.75,0,0,168,0,8,151000,81000,1754,1239,18,0
10021800-01,2010,-2.444938096,0.734363061,1.246428571,0.954838747,0,1,7,6,0,0,1,0,0,0,0,0,11,3,0,Grace Lake,Lower Minnesota River,-93.60623072,44.82448386,14,14,3.357142857,3.214285714,D,Grace Lake-1,453,0.614615385,2.54149225,0,0,146200,120950,1020,469.5,0,0,0,0,8,150000,77250,1872,1316,15,0
10021800-01,2011,-2.142816925,0.709293974,0.925,0.525045786,0,0,9,5,0,0,1,0,0,0,0,2,7,5,0,Grace Lake,Lower Minnesota River,-93.60623072,44.82448386,14,14,3.357142857,3.214285714,D,Grace Lake-1,453,0.614615385,2.54149225,0,0,136300,115700,1020,469.5,0,0,300,0,8,149400,76880,1906,1334,23,0
10021800-01,2012,-2.043444563,0.62455323,1.317857143,0.639292621,0,0,9,5,0,0,1,0,0,0,0,2,6,5,1,Grace Lake,Lower Minnesota River,-93.60623072,44.82448386,14,14,3.357142857,3.357142857,D,Grace Lake-1,461,0.715377574,2.938892658,0,0,85500,130850,1020,551,0,0,307,0,8,143700,82700,1628,1938,23,0
10021800-01,2013,-2.045920444,0.613126713,1.046428571,0.718027288,0,0,7,7,0,0,1,0,0,0,0,0,10,4,0,Grace Lake,Lower Minnesota River,-93.60623072,44.82448386,14,14,3.5,3.285714286,D,Grace Lake-1,454,0.623139535,2.544674984,0,0,91200,129275,1020,458,0,0,300,0,8,144100,76000,1034,2010,27,2
10021800-01,2014,-2.0260442,0.241802047,1.041666667,1.046820583,1,1,4,5,1,0,1,0,0,0,1,1,4,5,1,Grace Lake,Lower Minnesota River,-93.60623072,44.82448386,12,12,3.333333333,3.333333333,D,Grace Lake-1,454,0.623139535,2.544674984,0,0,110800,147500,1020,458,0,0,307,0,8,139900,77000,1202,1880,21,0
10022500-01,2004,-3.899424525,0.660177286,4.15,1.418964953,10,4,0,0,0,0,0,0,0,1,11,3,0,0,0,Brickyard Clayhole Lake,Lower Minnesota River,-93.59982271,44.79400718,14,14,1.285714286,1.214285714,A,Brickyard Clayhole Lake-1,82,2.874878049,8.924695969,0,0,145900,385175,960,7326,2,0,32,0,0,135000,135811,1521,15322,2,0
10022500-01,2005,-4.065781933,0.507209246,4.507142857,1.407924979,14,0,0,0,0,0,0,0,0,1,13,1,0,0,0,Brickyard Clayhole Lake,Lower Minnesota River,-93.59982271,44.79400718,14,14,1,1.071428571,A,Brickyard Clayhole Lake-1,82,2.866829268,8.917973096,0,0,157000,409225,1008,7326,2,0,32,0,0,135000,135811,1493,15156.75,0,0
10022500-01,2006,-3.867351803,0.487630995,4.8,0.750757194,13,0,0,0,0,0,0,0,0,1,13,0,0,0,0,Brickyard Clayhole Lake,Lower Minnesota River,-93.59982271,44.79400718,13,13,1,1,A,Brickyard Clayhole Lake-1,82,2.869634146,8.925865237,0,0,166800,366525,1008,6115,2,0,32,0,0,165000,305084,1597,15531.25,4,0
10022500-01,2007,-3.952957085,0.430745546,3.461538462,1.170141346,10,3,0,0,0,0,0,0,0,1,10,2,1,0,0,Brickyard Clayhole Lake,Lower Minnesota River,-93.59982271,44.79400718,13,13,1.230769231,1.307692308,A,Brickyard Clayhole Lake-1,82,2.869634146,8.925865237,0,0,169000,412650,1008,7326,2,0,15,0,0,167385,257313,1767,16071.5,2,0
10022500-01,2008,-3.74953055,0.646750223,3.917857143,1.785476358,8,3,1,2,0,0,0,0,0,1,8,6,0,0,0,Brickyard Clayhole Lake,Lower Minnesota River,-93.59982271,44.79400718,14,14,1.785714286,1.428571429,A,Brickyard Clayhole Lake-1,82,2.869634146,8.925865237,0,0,146200,435625,1008,7326,2,0,16,0,0,148217.5,114000,1847,16522,10,0
10022500-01,2009,-3.966031719,0.600485281,3.842857143,1.423275899,5,7,2,0,0,0,0,0,0,1,5,8,1,0,0,Brickyard Clayhole Lake,Lower Minnesota River,-93.59982271,44.79400718,14,14,1.785714286,1.714285714,A,Brickyard Clayhole Lake-1,82,2.869634146,8.925865237,0,0,148500,471300,1008,6115,2,0,15,0,10,154950,114000,1721,16805,4,0
10022500-01,2010,-4.192275452,0.429986218,3.907142857,1.058637939,7,7,0,0,0,0,0,0,0,1,5,9,0,0,0,Brickyard Clayhole Lake,Lower Minnesota River,-93.59982271,44.79400718,14,14,1.5,1.642857143,A,Brickyard Clayhole Lake-1,101,1.951287129,3.61231357,0,0,134000,288900,960,3312,0,0,0,0,10,110000,178129.25,1684,18640,6,2
10022500-01,2011,-3.994101487,0.463751901,3.578571429,1.66325842,8,5,1,0,0,0,0,0,0,1,6,6,2,0,0,Brickyard Clayhole Lake,Lower Minnesota River,-93.59982271,44.79400718,14,14,1.5,1.714285714,A,Brickyard Clayhole Lake-1,101,1.951287129,3.61231357,0,0,128600,278800,1008,3312,2,0,34,0,10,134000,305084,1640,14666,2,4
10022500-01,2012,-3.909014921,0.46570849,3.453846154,1.145182216,5,4,5,0,0,0,0,0,0,1,3,5,6,0,0,Brickyard Clayhole Lake,Lower Minnesota River,-93.59982271,44.79400718,14,14,2,2.214285714,A,Brickyard Clayhole Lake-1,102,1.88,3.489323461,0,0,121550,265975,1008,2400,2,0,34,0,10,158000,313811,1596,12396,8,4
10022500-01,2013,-4.120138004,0.338705095,3.946153846,0.971781341,10,3,0,0,0,0,0,0,0,1,10,3,0,0,0,Brickyard Clayhole Lake,Lower Minnesota River,-93.59982271,44.79400718,13,13,1.230769231,1.230769231,A,Brickyard Clayhole Lake-1,114,1.825087719,3.266443018,0,0,120600,292350,1008,2131,2,0,42,0,10,201950,354313,1910,14016,14,10
10022500-01,2014,-3.961344046,0.465384975,3.730769231,1.195397155,8,2,1,1,1,0,0,0,0,1,7,3,1,2,0,Brickyard Clayhole Lake,Lower Minnesota River,-93.59982271,44.79400718,13,13,1.846153846,1.846153846,A,Brickyard Clayhole Lake-1,149,1.672080537,3.496794338,0,0,123100,343250,1014,1852,2,0,55,0,10,347743,324899,1525,5002,8,16
10022600-01,2004,-3.889099217,0.369409458,3.464285714,0.790916842,8,6,0,0,0,0,0,0,0,1,11,3,0,0,0,Fireman's Clayhole Lake,Lower Minnesota River,-93.60344874,44.79128839,14,14,1.428571429,1.214285714,A,Fireman's Clayhole Lake-1,268,0.542835821,1.371573968,0,0,141800,137300,960,1462,0,0,137,0,0,146450,287507,1535,2080,12,0
10022600-01,2005,-3.876075165,0.457343384,3.035714286,0.754073189,13,1,0,0,0,0,0,0,0,1,8,6,0,0,0,Fireman's Clayhole Lake,Lower Minnesota River,-93.60344874,44.79128839,14,14,1.071428571,1.428571429,A,Fireman's Clayhole Lake-1,277,0.597364621,1.304497483,0,0,153400,141250,1236,2156,0,0,138,0,0,150000,278376.75,1553,3003.5,16,0
10022600-01,2006,-3.678791384,0.395765142,2.792307692,0.67015115,8,4,1,0,0,0,0,0,1,0,8,4,1,0,0,Fireman's Clayhole Lake,Lower Minnesota River,-93.60344874,44.79128839,13,13,1.461538462,1.461538462,B,Fireman's Clayhole Lake-1,279,0.594265233,1.301496958,0,0,163700,196800,1152,2024,0,0,142,0,0,161250,282607,1621,3452,4,0
10022600-01,2007,-3.831487542,0.29400391,2.93,0.828720567,8,3,0,0,0,0,0,0,0,1,8,3,0,0,0,Fireman's Clayhole Lake,Lower Minnesota River,-93.60344874,44.79128839,11,11,1.272727273,1.272727273,A,Fireman's Clayhole Lake-1,279,0.594265233,1.301496958,0,0,165900,241300,1155,2100,0,0,69,0,0,165000,326202.5,1975,3755,12,0
